FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,16.3769,22.6042,21.0789,16.3476,19.1019,16.3476
10.0,16.2020,22.4209,21.2779,16.2823,19.0458,16.2020
20.0,16.2583,22.4541,21.1900,16.2368,19.0348,16.2368
30.0,16.3044,22.4869,21.2443,16.2795,19.0788,16.2795
40.0,16.3266,22.3364,21.1495,16.3610,19.0434,16.3266
50.0,16.2330,22.6332,20.9825,16.3269,19.0439,16.2330
60.0,16.2446,22.5752,21.2693,16.3305,19.1049,16.2446
70.0,16.2958,22.6504,21.0908,16.2139,19.0627,16.2139
80.0,16.3483,22.9859,21.2890,16.2269,19.2125,16.2269
90.0,16.3457,22.2209,21.1990,16.3330,19.0247,16.3330
